Transect,Survey.week,Anthro.Rank,Regeneration,Sampling.effort,Indiv_overhang_total,Indiv_overhang_native,Indiv_overhang_nonnative,Proportion_indiv_nonnative_total,Species_overhang_total,Species_overhang_native,Species_overhang_nonnative,Proportion_species_nonnative_total,Indiv_flower_total,Indiv_flower_native,Indiv_flower_nonnative,Proportion_indiv_flower_total,Proportion_indiv_flower_native,Proportion_indiv_flower_nonnative,Species_flower_total,Species_flower_native,Species_flower_nonnative,Proportion_species_flower_total,Proportion_species_flower_native,Proportion_species_flower_nonnative,Indiv_all_fruit_total,Indiv_low_fruit_total,Indiv_high_fruit_total,Indiv_all_fruit_native,Indiv_low_fruit_native,Indiv_high_fruit_native,Indiv_all_fruit_nonnative,Indiv_low_fruit_nonnative,Indiv_high_fruit_nonnative,Proportion_indiv_all_fruit_total,Proportion_indiv_all_fruit_native,Proportion_indiv_all_fruit_nonnative,Proportion_indiv_low_fruit_total,Proportion_indiv_low_fruit_native,Proportion_indiv_low_fruit_nonnative,Proportion_indiv_high_fruit_total,Proportion_indiv_high_fruit_native,Proportion_indiv_high_fruit_nonnative,Species_all_fruit_total,Species_all_fruit_native,Species_all_fruit_nonnative,Proportion_species_all_fruit_total,Proportion_species_all_fruit_native,Proportion_Species_all_fruit_nonnative
A,1,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,10,10,0,0.042194093,0.042194093,0,7,7,0,0.076086957,0.076086957,0,25,18,7,25,18,7,0,0,0,0.105485232,0.105485232,0,0.075949367,0.075949367,0,0.029535865,0.029535865,0,19,19,0,0.206521739,0.206521739,0
A,2,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,8,8,0,0.033755274,0.033755274,0,6,6,0,0.065217391,0.065217391,0,18,10,8,18,10,8,0,0,0,0.075949367,0.075949367,0,0.042194093,0.042194093,0,0.033755274,0.033755274,0,16,16,0,0.173913043,0.173913043,0
A,3,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,9,9,0,0.037974684,0.037974684,0,6,6,0,0.065217391,0.065217391,0,17,9,8,17,9,8,0,0,0,0.071729958,0.071729958,0,0.037974684,0.037974684,0,0.033755274,0.033755274,0,14,14,0,0.152173913,0.152173913,0
A,4,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,9,9,0,0.037974684,0.037974684,0,8,8,0,0.086956522,0.086956522,0,20,12,8,20,12,8,0,0,0,0.084388186,0.084388186,0,0.050632911,0.050632911,0,0.033755274,0.033755274,0,16,16,0,0.173913043,0.173913043,0
A,5,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,12,12,0,0.050632911,0.050632911,0,7,7,0,0.076086957,0.076086957,0,22,16,6,22,16,6,0,0,0,0.092827004,0.092827004,0,0.067510549,0.067510549,0,0.025316456,0.025316456,0,18,18,0,0.195652174,0.195652174,0
A,6,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,10,10,0,0.042194093,0.042194093,0,6,6,0,0.065217391,0.065217391,0,21,18,3,21,18,3,0,0,0,0.088607595,0.088607595,0,0.075949367,0.075949367,0,0.012658228,0.012658228,0,17,17,0,0.184782609,0.184782609,0
A,7,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,13,13,0,0.054852321,0.054852321,0,8,8,0,0.086956522,0.086956522,0,18,18,0,18,18,0,0,0,0,0.075949367,0.075949367,0,0.075949367,0.075949367,0,0,0,0,14,14,0,0.152173913,0.152173913,0
B,1,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,13,12,1,0.057777778,0.053333333,0.004444444,9,8,1,0.108433735,0.096385542,0.012048193,23,15,8,22,15,7,1,0,1,0.102222222,0.097777778,0.004444444,0.066666667,0.066666667,0,0.035555556,0.031111111,0.004444444,16,15,1,0.192771084,0.180722892,0.012048193
B,2,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,11,10,1,0.048888889,0.044444444,0.004444444,10,9,1,0.120481928,0.108433735,0.012048193,24,17,7,23,17,6,1,0,1,0.106666667,0.102222222,0.004444444,0.075555556,0.075555556,0,0.031111111,0.026666667,0.004444444,17,16,1,0.204819277,0.192771084,0.012048193
B,3,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,8,7,1,0.035555556,0.031111111,0.004444444,8,7,1,0.096385542,0.084337349,0.012048193,14,11,3,13,11,2,1,0,1,0.062222222,0.057777778,0.004444444,0.048888889,0.048888889,0,0.013333333,0.008888889,0.004444444,12,11,1,0.144578313,0.13253012,0.012048193
B,4,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,10,10,0,0.044444444,0.044444444,0,7,7,0,0.084337349,0.084337349,0,15,13,2,14,13,1,1,0,1,0.066666667,0.062222222,0.004444444,0.057777778,0.057777778,0,0.008888889,0.004444444,0.004444444,14,13,1,0.168674699,0.156626506,0.012048193
B,5,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,13,13,0,0.057777778,0.057777778,0,8,8,0,0.096385542,0.096385542,0,14,13,1,13,13,0,1,0,1,0.062222222,0.057777778,0.004444444,0.057777778,0.057777778,0,0.004444444,0,0.004444444,13,12,1,0.156626506,0.144578313,0.012048193
B,6,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,12,11,1,0.053333333,0.048888889,0.004444444,10,9,1,0.120481928,0.108433735,0.012048193,15,14,1,14,14,0,1,0,1,0.066666667,0.062222222,0.004444444,0.062222222,0.062222222,0,0.004444444,0,0.004444444,14,13,1,0.168674699,0.156626506,0.012048193
B,7,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,12,11,1,0.053333333,0.048888889,0.004444444,10,9,1,0.120481928,0.108433735,0.012048193,14,14,0,13,13,0,1,1,0,0.062222222,0.057777778,0.004444444,0.062222222,0.057777778,0.004444444,0,0,0,12,11,1,0.144578313,0.13253012,0.012048193
C,1,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,16,8,8,0.246153846,0.123076923,0.123076923,6,3,3,0.352941176,0.176470588,0.176470588,29,26,3,13,11,2,16,15,1,0.446153846,0.2,0.246153846,0.4,0.169230769,0.230769231,0.046153846,0.030769231,0.015384615,9,5,4,0.529411765,0.294117647,0.235294118
C,2,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,13,7,6,0.2,0.107692308,0.092307692,7,4,3,0.411764706,0.235294118,0.176470588,22,20,2,12,10,2,10,10,0,0.338461538,0.184615385,0.153846154,0.307692308,0.153846154,0.153846154,0.030769231,0.030769231,0,8,6,2,0.470588235,0.352941176,0.117647059
C,3,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,18,9,9,0.276923077,0.138461538,0.138461538,10,7,3,0.588235294,0.411764706,0.176470588,20,20,0,10,10,0,10,10,0,0.307692308,0.153846154,0.153846154,0.307692308,0.153846154,0.153846154,0,0,0,8,6,2,0.470588235,0.352941176,0.117647059
C,4,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,21,10,11,0.323076923,0.153846154,0.169230769,9,5,4,0.529411765,0.294117647,0.235294118,25,25,0,10,10,0,15,15,0,0.384615385,0.153846154,0.230769231,0.384615385,0.153846154,0.230769231,0,0,0,8,5,3,0.470588235,0.294117647,0.176470588
C,5,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,19,10,9,0.292307692,0.153846154,0.138461538,7,5,2,0.411764706,0.294117647,0.117647059,22,22,0,9,9,0,13,13,0,0.338461538,0.138461538,0.2,0.338461538,0.138461538,0.2,0,0,0,8,5,3,0.470588235,0.294117647,0.176470588
C,6,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,22,11,11,0.338461538,0.169230769,0.169230769,8,6,2,0.470588235,0.352941176,0.117647059,22,22,0,9,9,0,13,13,0,0.338461538,0.138461538,0.2,0.338461538,0.138461538,0.2,0,0,0,8,4,4,0.470588235,0.235294118,0.235294118
C,7,6,regenerating,4,65,44,21,0.323076923,17,11,6,0.352941176,18,8,10,0.276923077,0.123076923,0.153846154,6,4,2,0.352941176,0.235294118,0.117647059,23,23,0,9,9,0,14,14,0,0.353846154,0.138461538,0.215384615,0.353846154,0.138461538,0.215384615,0,0,0,8,5,3,0.470588235,0.294117647,0.176470588
D,1,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,15,5,10,0.234375,0.078125,0.15625,4,1,3,0.363636364,0.090909091,0.272727273,25,14,11,4,0,4,21,14,7,0.390625,0.0625,0.328125,0.21875,0,0.21875,0.171875,0.0625,0.109375,4,1,3,0.363636364,0.090909091,0.272727273
D,2,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,11,3,8,0.171875,0.046875,0.125,4,1,3,0.363636364,0.090909091,0.272727273,19,12,7,5,3,2,14,9,5,0.296875,0.078125,0.21875,0.1875,0.046875,0.140625,0.109375,0.03125,0.078125,3,1,2,0.272727273,0.090909091,0.181818182
D,3,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,13,5,8,0.203125,0.078125,0.125,4,1,3,0.363636364,0.090909091,0.272727273,19,18,1,4,4,0,15,14,1,0.296875,0.0625,0.234375,0.28125,0.0625,0.21875,0.015625,0,0.015625,3,1,2,0.272727273,0.090909091,0.181818182
D,4,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,15,1,14,0.234375,0.015625,0.21875,3,0,3,0.272727273,0,0.272727273,21,21,0,5,5,0,16,16,0,0.328125,0.078125,0.25,0.328125,0.078125,0.25,0,0,0,4,2,2,0.363636364,0.181818182,0.181818182
D,5,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,14,4,10,0.21875,0.0625,0.15625,4,1,3,0.363636364,0.090909091,0.272727273,13,13,0,1,1,0,12,12,0,0.203125,0.015625,0.1875,0.203125,0.015625,0.1875,0,0,0,3,1,2,0.272727273,0.090909091,0.181818182
D,6,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,10,0,10,0.15625,0,0.15625,3,0,3,0.272727273,0,0.272727273,12,12,0,1,1,0,11,11,0,0.1875,0.015625,0.171875,0.1875,0.015625,0.171875,0,0,0,3,1,2,0.272727273,0.090909091,0.181818182
D,7,5,regenerating,4,64,36,28,0.4375,11,7,4,0.363636364,4,0,4,0.0625,0,0.0625,1,0,1,0.090909091,0,0.090909091,13,13,0,1,1,0,12,12,0,0.203125,0.015625,0.1875,0.203125,0.015625,0.1875,0,0,0,3,1,2,0.272727273,0.090909091,0.181818182
E,1,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,9,1,8,0.155172414,0.017241379,0.137931034,4,1,3,0.25,0.0625,0.1875,19,11,8,11,3,8,8,8,0,0.327586207,0.189655172,0.137931034,0.189655172,0.051724138,0.137931034,0.137931034,0.137931034,0,7,4,3,0.4375,0.25,0.1875
E,2,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,10,4,6,0.172413793,0.068965517,0.103448276,4,1,3,0.25,0.0625,0.1875,18,10,8,11,3,8,7,7,0,0.310344828,0.189655172,0.120689655,0.172413793,0.051724138,0.120689655,0.137931034,0.137931034,0,6,3,3,0.375,0.1875,0.1875
E,3,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,8,2,6,0.137931034,0.034482759,0.103448276,4,1,3,0.25,0.0625,0.1875,20,13,7,11,4,7,9,9,0,0.344827586,0.189655172,0.155172414,0.224137931,0.068965517,0.155172414,0.120689655,0.120689655,0,7,4,3,0.4375,0.25,0.1875
E,4,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,3,1,2,0.051724138,0.017241379,0.034482759,3,1,2,0.1875,0.0625,0.125,20,15,5,11,6,5,9,9,0,0.344827586,0.189655172,0.155172414,0.25862069,0.103448276,0.155172414,0.086206897,0.086206897,0,7,4,3,0.4375,0.25,0.1875
E,5,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,8,1,7,0.137931034,0.017241379,0.120689655,4,1,3,0.25,0.0625,0.1875,20,15,5,11,6,5,9,9,0,0.344827586,0.189655172,0.155172414,0.25862069,0.103448276,0.155172414,0.086206897,0.086206897,0,7,4,3,0.4375,0.25,0.1875
E,6,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,8,1,7,0.137931034,0.017241379,0.120689655,4,1,3,0.25,0.0625,0.1875,18,18,0,10,10,0,8,8,0,0.310344828,0.172413793,0.137931034,0.310344828,0.172413793,0.137931034,0,0,0,6,3,3,0.375,0.1875,0.1875
E,7,4,regenerating,4,58,40,18,0.310344828,16,12,4,0.25,3,1,2,0.051724138,0.017241379,0.034482759,3,1,2,0.1875,0.0625,0.125,17,17,0,10,10,0,7,7,0,0.293103448,0.172413793,0.120689655,0.293103448,0.172413793,0.120689655,0,0,0,5,3,2,0.3125,0.1875,0.125
F,1,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,7,7,0,0.032407407,0.032407407,0,8,8,0,0.093023256,0.093023256,0,13,6,7,13,6,7,0,0,0,0.060185185,0.060185185,0,0.027777778,0.027777778,0,0.032407407,0.032407407,0,10,10,0,0.11627907,0.11627907,0
F,2,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,6,2,4,0.027777778,0.009259259,0.018518519,8,7,1,0.093023256,0.081395349,0.011627907,11,4,7,10,3,7,1,1,0,0.050925926,0.046296296,0.00462963,0.018518519,0.013888889,0.00462963,0.032407407,0.032407407,0,8,7,1,0.093023256,0.081395349,0.011627907
F,3,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,6,4,2,0.027777778,0.018518519,0.009259259,6,5,1,0.069767442,0.058139535,0.011627907,13,10,3,10,7,3,3,3,0,0.060185185,0.046296296,0.013888889,0.046296296,0.032407407,0.013888889,0.013888889,0.013888889,0,11,10,1,0.127906977,0.11627907,0.011627907
F,4,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,5,4,1,0.023148148,0.018518519,0.00462963,5,4,1,0.058139535,0.046511628,0.011627907,14,12,2,10,8,2,4,4,0,0.064814815,0.046296296,0.018518519,0.055555556,0.037037037,0.018518519,0.009259259,0.009259259,0,11,10,1,0.127906977,0.11627907,0.011627907
F,5,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,10,5,5,0.046296296,0.023148148,0.023148148,7,5,2,0.081395349,0.058139535,0.023255814,14,12,2,10,8,2,4,4,0,0.064814815,0.046296296,0.018518519,0.055555556,0.037037037,0.018518519,0.009259259,0.009259259,0,10,9,1,0.11627907,0.104651163,0.011627907
F,6,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,10,5,5,0.046296296,0.023148148,0.023148148,6,5,1,0.069767442,0.058139535,0.011627907,12,10,2,9,7,2,3,3,0,0.055555556,0.041666667,0.013888889,0.046296296,0.032407407,0.013888889,0.009259259,0.009259259,0,9,8,1,0.104651163,0.093023256,0.011627907
F,7,3,intact,9,216,206,10,0.046296296,86,84,2,0.023255814,4,3,1,0.018518519,0.013888889,0.00462963,4,3,1,0.046511628,0.034883721,0.011627907,8,7,1,7,6,1,1,1,0,0.037037037,0.032407407,0.00462963,0.032407407,0.027777778,0.00462963,0.00462963,0.00462963,0,7,6,1,0.081395349,0.069767442,0.011627907
