species,transect,length,anthro.rank,count1,count2,count3,count4,count5,count6,count7,count8,count9,rate
pd,B,1000,MATURE1,4,0,0,0,0,0,0,0,0,0.004
al,B,1000,MATURE1,0,0,0,4,0,0,0,0,0,0.004
lm,B,1000,MATURE1,0,0,0,2,0,0,0,0,0,0.002
ms,B,1000,MATURE1,0,0,0,0,0,1,0,0,0,0.001
ii,A,1000,MATURE2,2,0,3,0,0,3,0,1,0,0.009
vv,A,1000,MATURE2,0,0,1,0,0,0,0,0,0,0.001
pd,A,1000,MATURE2,0,0,1,0,0,5,0,0,0,0.006
lm,A,1000,MATURE2,0,0,0,6,0,0,7,0,4,0.017
al,A,1000,MATURE2,0,0,0,0,0,0,6,0,3,0.009
ms,A,1000,MATURE2,0,0,0,0,0,0,1,0,1,0.002
vv,F,800,MATURE3,3,0,0,0,0,0,0,0,0,0.00375
pd,F,800,MATURE3,0,0,5,0,0,0,0,0,0,0.00625
hg,F,800,MATURE3,0,0,3,0,7,0,0,0,0,0.0125
ii,F,800,MATURE3,0,0,0,0,0,0,0,0,4,0.005
lm,F,800,MATURE3,0,0,0,1,0,3,1,0,0,0.00625
al,F,800,MATURE3,0,0,0,2,0,4,4,0,0,0.0125
ms,F,800,MATURE3,0,0,0,2,0,0,1,0,0,0.00375
ef,E,375,REGEN1,0,0,0,0,0,0,2,0,0,0.005333333
ms,E,375,REGEN1,0,0,8,0,3,3,0,0,0,0.037333333
ms,D,350,REGEN2,0,6,0,0,0,0,0,0,3,0.025714286
ms,C,325,REGEN3,0,0,2,0,0,6,3,0,0,0.033846154