transect,survey.number,anthro.rank,regeneration,sampling.effort,rain.count,nonnative.rain.count,dispersal.count,nonnative.dispersal.count,rain.encounter.rate,nonnative.rain.encounter.rate,dispersal.encounter.rate,nonnative.dispersal.encounter.rate,fruiting.proportion,nonnative.fruiting.proportion,Percent_nonnative_fruiting
A,1,2,mature,11,5,0,4,0,0.454545455,0,0.363636364,0,0.105485232,0,0
A,2,2,mature,11,1,0,0,0,0.090909091,0,0,0,0.075949367,0,0
A,3,2,mature,11,0,0,0,0,0,0,0,0,0.071729958,0,0
A,4,2,mature,11,4,0,4,0,0.363636364,0,0.363636364,0,0.084388186,0,0
A,5,2,mature,11,0,0,0,0,0,0,0,0,0.092827004,0,0
A,6,2,mature,11,0,0,0,0,0,0,0,0,0.088607595,0,0
A,7,2,mature,11,1,0,1,0,0.090909091,0,0.090909091,0,0.075949367,0,0
B,1,1,mature,11,1,0,1,0,0.090909091,0,0.090909091,0,0.102222222,0.004444444,1
B,2,1,mature,11,1,0,0,0,0.090909091,0,0,0,0.106666667,0.004444444,1
B,3,1,mature,11,1,0,1,0,0.090909091,0,0.090909091,0,0.062222222,0.004444444,1
B,4,1,mature,11,0,0,0,0,0,0,0,0,0.066666667,0.004444444,1
B,5,1,mature,11,0,0,0,0,0,0,0,0,0.062222222,0.004444444,1
B,6,1,mature,11,0,0,0,0,0,0,0,0,0.066666667,0.004444444,1
B,7,1,mature,11,0,0,0,0,0,0,0,0,0.062222222,0.004444444,1
C,1,6,regenerating,4,68,66,8,6,17,16.5,2,1.5,0.446153846,0.246153846,0.761904762
C,2,6,regenerating,4,17,12,5,0,4.25,3,1.25,0,0.338461538,0.153846154,0.476190476
C,3,6,regenerating,4,2,2,1,1,0.5,0.5,0.25,0.25,0.307692308,0.153846154,0.476190476
C,4,6,regenerating,4,0,0,0,0,0,0,0,0,0.384615385,0.230769231,0.714285714
C,5,6,regenerating,4,0,0,0,0,0,0,0,0,0.338461538,0.2,0.619047619
C,6,6,regenerating,4,0,0,0,0,0,0,0,0,0.338461538,0.2,0.619047619
C,7,6,regenerating,4,0,0,0,0,0,0,0,0,0.353846154,0.215384615,0.666666667
D,1,5,regenerating,4,60,60,2,2,15,15,0.5,0.5,0.390625,0.328125,0.75
D,2,5,regenerating,4,18,18,4,4,4.5,4.5,1,1,0.296875,0.21875,0.5
D,3,5,regenerating,4,3,3,1,1,0.75,0.75,0.25,0.25,0.296875,0.234375,0.535714286
D,4,5,regenerating,4,6,6,3,3,1.5,1.5,0.75,0.75,0.328125,0.25,0.571428571
D,5,5,regenerating,4,0,0,0,0,0,0,0,0,0.203125,0.1875,0.428571429
D,6,5,regenerating,4,1,1,1,1,0.25,0.25,0.25,0.25,0.1875,0.171875,0.392857143
D,7,5,regenerating,4,1,1,1,1,0.25,0.25,0.25,0.25,0.203125,0.1875,0.428571429
E,1,4,regenerating,4,6,4,5,4,1.5,1,1.25,1,0.327586207,0.137931034,0.444444444
E,2,4,regenerating,4,0,0,0,0,0,0,0,0,0.310344828,0.120689655,0.388888889
E,3,4,regenerating,4,12,0,12,0,3,0,3,0,0.344827586,0.155172414,0.5
E,4,4,regenerating,4,8,0,4,0,2,0,1,0,0.344827586,0.155172414,0.5
E,5,4,regenerating,4,4,4,4,4,1,1,1,1,0.344827586,0.155172414,0.5
E,6,4,regenerating,4,12,1,12,1,3,0.25,3,0.25,0.310344828,0.137931034,0.444444444
E,7,4,regenerating,4,0,0,0,0,0,0,0,0,0.293103448,0.120689655,0.388888889
F,1,3,mature,9,4,2,3,2,0.444444444,0.222222222,0.333333333,0.222222222,0.060185185,0,0
F,2,3,mature,9,3,0,3,0,0.333333333,0,0.333333333,0,0.050925926,0.00462963,0.1
F,3,3,mature,9,7,0,2,0,0.777777778,0,0.222222222,0,0.060185185,0.013888889,0.3
F,4,3,mature,9,1,0,1,0,0.111111111,0,0.111111111,0,0.064814815,0.018518519,0.4
F,5,3,mature,9,1,0,1,0,0.111111111,0,0.111111111,0,0.064814815,0.018518519,0.4
F,6,3,mature,9,1,0,1,0,0.111111111,0,0.111111111,0,0.055555556,0.013888889,0.3
F,7,3,mature,9,0,0,0,0,0,0,0,0,0.037037037,0.00462963,0.1